,method,coverage_0,coverage_1,interval_width_0,interval_width_1,coverage_ITE_naive,interval_width_ITE_naive,coverage_ITE_inexact,interval_width_ITE_inexact,coverage_ITE_exact,interval_width_ITE_exact,n_intervention,n_observation,conf_strength,dr_use_Y,seed,x_dim
0,inexact,0.923,0.931,0.36904934158575886,0.3712924481308593,0.994,0.7403417897166181,0.9865,1.6373106557592454,1.0,4.003603339203708,100,10000,0.6,0,42,5
0,inexact,0.937,0.9335,0.380352800393912,0.37696105209817177,0.986,0.7573138524920837,0.978,1.2754345431021223,1.0,3.4400316159858306,500,10000,0.6,0,42,5
0,inexact,0.937,0.933,0.37334426471546117,0.3806085696896139,0.994,0.753952834405075,0.987,1.3536191847813501,1.0,3.448349375435267,1000,10000,0.6,0,42,5
