,method,coverage_0,coverage_1,interval_width_0,interval_width_1,coverage_ITE_naive,interval_width_ITE_naive,coverage_ITE_inexact,interval_width_ITE_inexact,coverage_ITE_exact,interval_width_ITE_exact,n_intervention,n_observation,conf_strength,dr_use_Y,seed,x_dim
0,inexact,0.923,0.931,0.36904934158575886,0.3712924481308593,0.994,0.7403417897166181,0.995,1.8974118180876571,1.0,4.040948172739018,100,10000,0.6,0,42,5
0,inexact,0.938,0.9335,0.38054486039039837,0.37696105209817177,0.986,0.7575059124885701,0.9965,1.6789981860618615,1.0,3.827600506597574,500,10000,0.6,0,42,5
0,inexact,0.9365,0.933,0.37336701200419875,0.3806085696896139,0.994,0.7539755816938126,0.998,1.7751000241805486,1.0,3.9264879260208274,1000,10000,0.6,0,42,5
0,inexact,0.92,0.9335,0.3744828586069114,0.3863762811826724,0.989,0.7608591397895839,0.9965,1.81915921365193,1.0,3.9504022920010002,5000,10000,0.6,0,42,5
